site_code,d,gender,age_groups,vehicle_types
TANG-BODE-001,2025-11-11,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-12,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-13,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-14,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-15,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-16,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-17,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-18,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-19,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-20,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-21,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-22,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-23,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-24,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-25,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-26,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-27,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-28,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-29,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-30,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-01,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-02,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-03,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-04,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-05,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-06,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-07,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-08,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-09,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-10,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-11,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-12,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-13,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-14,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-15,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-16,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-17,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-18,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-19,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-20,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-21,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-22,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-23,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-24,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-25,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-26,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-27,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-28,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-29,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-30,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-12-31,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2026-01-01,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2026-01-02,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2026-01-03,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2026-01-04,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2026-01-05,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2026-01-06,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2026-01-07,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2026-01-08,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2026-01-09,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2026-01-10,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2026-01-11,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2026-01-12,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2026-01-13,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2026-01-14,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2026-01-15,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2026-01-16,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
